A1R	A2	A3	A4	A5	C1	C2	C3	C4R	C5R	E1R	E2R	E3	E4	E5	N1R	N2R	N3R	N4R	N5R	O1	O2R	O3	O4	O5R	gender	education	age	extraversion	plasticity
5	4	3	4	4	2	3	3	3	3	4	4	3	4	4	4	3	5	5	4	3	1	3	4	4	1		16	3.8	3.4
5	4	5	2	5	5	4	4	4	3	6	6	6	4	3	4	4	4	2	2	4	5	4	3	4	2		18	5	4.5
2	4	5	4	4	4	5	4	5	2	5	3	4	4	5	3	2	3	5	4	4	5	5	5	5	2		17	4.2	4.5
3	4	6	5	5	4	4	3	2	2	2	4	4	4	4	5	2	5	3	6	3	4	4	3	2	2		17	3.6	3.4
5	3	3	4	5	4	4	5	4	5	5	5	5	4	5	5	4	3	3	4	3	4	4	3	4	1		17	4.8	4.2
1	6	5	6	5	6	6	6	6	4	5	6	6	5	6	4	2	5	5	4	4	4	5	6	6	2	3	21	5.6	5.3
5	5	5	3	5	5	4	4	5	4	3	4	4	5	5	6	5	5	6	6	5	5	5	6	6	1		18	4.2	4.8
3	3	1	5	1	3	2	4	5	3	4	1	4	2	1	1	4	5	1	3	3	5	4	5	4	1	2	19	2.4	3.3
3	3	6	3	3	6	6	3	3	2	2	4		4	3	2	2	5	4	4	6	1	6	6	6	1	1	19		
5	5	6	6	5	6	5	6	5	6	5	5	4	5	5	2	2	2	5	3	5	6	5	5	5	2		17	4.8	5
3	4	5	6	5	4	3	5	4	5	6	4	2	5	4	4	4	3	5	4	5	4	5	6	4	1	1	21	4.2	4.5
5	5	5	5	5	5	4	5	3	2	4	4	4	5	4	3	2	4	5		4	1	4	5	3	1		16	4.2	3.8
2	5	5	6	4	5	4	3	5	5	4	4	3	2	4	6	5	5	5	5	4	5	4	5	5	2		16	3.4	4
2	5	5	6	6	4	4	4	5	6	5	5	4	6	5	6	6	6	5	6	5	4	4	4	3	1		16	5	4.5
3	5	2	2	1	5	5	5	5	5	4	3	3	6	5	5	3	5	5	4	5	5	5	5	2	1	1	17	4.2	4.3
3	3	6	6	3	5	5	5	4	2	6	6	6	6	4	3	2	3	2	2	6	1	6	3	5	1		17	5.6	4.9
3	6	6	2	5	4	4	4	3	3	6	5	5	5	5	3	3	3	3	2	5	6	5	6	4	2		17	5.2	5.2
2	5	5	4	5	5	5	5	3	4	5	5	4	6	6	1	2	2	3	3	5	6	4	5	3	1		17	5.2	4.9
3	4	5	4	3	5	4	5	3	1	6	5	4	5	5	2	1	2	2	5	4	5	2	4	5	2		16	5	4.5
3	4	6	5	5	1	1	1	2	1	6	6	4	5	6	2	2	2	6	6	4	6	5	3	5	2		17	5.4	5
2	4	2	1	2	4	6	5	2	3	4	4	5	5	4	6	4	4	5	6	6	6	3	2	3	1		17	4.4	4.2
6	6	6	1	5	5	4	4	5	4	6	5	4	3	4	5	2	2	3	1	5	6	6	6	5	2		17	4.4	5
6	5	6	5	6	4	3	2	3	2	5	6	2	5	2	5	5	5	5	5	6	6	5	5	5	1	5	68	4	4.7
5	6	5	6	5	3	5	6	4	1	5	5	4	6	6	3	3	3	1	1	6	6	5	6	6	2	2	27	5.2	5.5
3	5	5	6	5	5	5	4	6	6	4	5	5	5	6	5	4	4	6	6	6	5	5	6	5	1	1	18	5	5.2
6	6	6	1	6	5	2	5	6	6	6	6	6	6	6	5	4	6	5	6	6	3	5	5	4	2	3	20	6	5.3
5	4	4	4	3	6	5	6	6	6	5	3	4	2	6	4	4	2	4	5	5	5	6	6	6	2	5	51	4	4.8
5	5	6	6	6	4	5	4	4	3	6	5	6	6	6	3	3	2	5	4	6	6	6	4	4	2		14	5.8	5.5
5	5	1	3	5	5	4	5	5	2	6	5	6	5	4	6	3	5	5	2	2	3	5	4	6	2	3	33	5.2	4.6
3	5	6	5	5	5	5	3	2	3	6	5	6	5	5	2	3	3	4	6	4	3	6	5	6	2	3	18	5.4	5.1
6	6	5	6	3	5	5	5	3	4	5	2	1	5	3	2	2	2	1	1	4	4	3	6	2	2		17	3.2	3.5
5	5	6	6	6	5	5	5	5	3	6	5	4	5	5	4	5	3	6	5	5	5	5	5	5	2	3	41	5	5
6	5	6	5	4	1	5	6	3	1	1	1	2	1	1	6	5	6	4	1	6	1	5	6	6	1	5	23	1.2	3
5	4	5	6	5	4	6	4	5	3	5	5	3	5	3	5	5	3	6	4	5	2	5	4	5	2		17	4.2	4.2
3	4	4	4	4	4	3	3	4	3	5	4	4	2	3		5	6	5	5	4	4	5	5	4	1	3	20	3.6	4
2	3	5	4	2	2	2	4	4	3	4	3	3	2	3	2	4	3	3	4	4	2	4	4	4	1	3	23	3	3.3
6	6	4	6	4	5	6	3	6	2	1	1	3	2	2	5	5	5	3	6	5	2	4	5	4	1	3	20	1.8	2.9
6	4	4	2	3	6	5	6	4	3	4	3	3	3	5	2	1	2	2	3	5	2	4	5	5	1	3	21	3.6	3.9
6	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	1		30	5	5.5
6	5	4	3	5	6	5	5	5	5	4	5	3	6	5	6	5	6	5	6	5	6	6	6	6	2	5	48	4.6	5.2
6	5	5	6	5	4	4	4	4	3	3	4	4	4	4	5	5	4	4	4	4	4	2	5	5	2	3	40	3.8	3.9
2	4	3	6	4	5	2	5	5	3	1	3	2	4	4	6	5	6	5		3	4	2	2	2	2	4	27	2.8	2.7
