user_id,sex,sexpref,age,alexandra,anastazie,anezka,bera,bohdana,brenda,carol,christianne,dagmar,debra,dobromila,dusana,edita,eleanora,elena,eugenia,evzenie,gabriela,gejza,ida,ingrid,irena,jindriska,jitka,karina,kordula,lea,linda,livia,lujza,margita,marika,matylda,miloslava,milota,miriama,peggy,perla,radmila,sarlota,saskie,sidonia,stela,tamara,ursula,viktoria,viola,vladena,zelmira,zlata
477033,female,,30.9,-18,-14,-17,-18,-18,-16,-16,-4,-15,-10,-18,-16,-18,-18,-14,-17,-10,-18,-17,-18,-14,-17,-16,-17,-17,-16,-18,-18,-17,-18,-17,-16,-18,-17,-17,-10,-16,-16,-6,-18,-16,-18,-18,-16,-18,-18,-18,-18,-18,-18
478230,male,women,25.8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,15,9,31,0,9,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478291,female,women,23.5,-8,-5,10,-7,26,0,20,12,42,1,15,20,13,6,66,16,10,0,-11,0,27,66,5,-4,12,6,-18,-7,8,21,23,-1,-2,15,-7,17,10,15,-3,10,6,30,-9,37,17,60,0,15,55,0
479035,female,men,22.6,17,-9,-7,-9,14,-8,10,-9,38,24,2,-10,-11,32,-10,-13,-12,-10,12,-11,0,-11,-7,-8,-8,32,24,-10,21,19,0,31,25,-6,44,27,-6,67,19,-10,-8,-12,29,11,-12,28,31,48,-11,29
489018,male,men,26.8,-3,9,0,-12,-12,19,-9,-3,0,18,22,43,-1,7,0,-10,0,-6,-8,10,0,-4,0,-10,-5,-13,0,0,24,-4,11,0,42,-2,2,26,0,0,-6,-4,10,-10,-5,0,-4,-18,-2,35,-1,0
501705,female,either,21.3,21,-4,-4,39,27,11,21,30,43,28,21,-8,31,8,28,-7,11,13,30,43,21,-1,30,23,-8,-8,18,43,49,0,32,19,32,32,32,0,-5,37,37,26,1,35,14,29,-6,28,28,30,31,33
514003,male,women,30.1,-9,-11,2,-10,-10,-11,-10,-12,3,-10,-10,-12,-10,-12,3,4,-9,-10,-9,-12,-8,-8,-9,4,-8,-10,-9,-10,-10,2,-8,-11,-10,-9,-9,-4,-11,-9,5,1,-12,0,-11,-12,-10,-10,-12,-10,-10,-12
518109,female,men,20.1,-3,-9,31,-8,-8,-9,-11,-9,11,-4,0,-13,0,-9,0,52,1,-9,9,-1,-7,-12,15,16,-10,-11,-3,79,-10,30,-6,-7,-11,73,0,-11,-11,57,46,24,-9,-2,-9,3,-5,0,-6,13,-9,21
531458,male,women,19.8,0,-14,0,0,-14,-3,-9,-18,135,-12,-12,0,-13,-11,19,189,-15,2,-12,-6,51,-11,-15,9,-13,-12,-11,-6,-15,-9,-15,-22,-11,-16,-12,-12,-9,0,-16,-9,-7,8,-12,-14,-11,-13,0,0,-11,49
531826,male,women,27.2,5,-11,-11,-7,-6,-10,-11,-11,49,-11,-14,-13,-6,-1,44,50,9,-8,-11,17,-10,-13,-10,18,-15,-12,-11,-3,10,-5,-11,-12,-6,-6,-10,-14,-7,-13,29,1,-13,60,-12,-4,-11,-11,-11,0,-12,34
531966,female,men,20.7,3,-6,-4,-3,-8,-6,0,-10,12,3,-7,-9,0,-5,0,0,-4,-6,0,17,0,-3,-5,3,0,-3,5,0,-4,1,-10,0,0,0,6,6,-6,0,-3,-5,2,-2,2,0,-3,-3,0,3,0,0
531967,female,men,23.1,-10,6,-11,-12,-7,12,8,-6,7,13,-5,8,-3,-2,-7,-4,-6,-11,-2,9,-2,-10,-8,-5,-3,-11,-7,-12,6,-5,-9,-13,6,5,10,6,-11,11,-5,12,-9,-8,5,-6,-10,2,-8,10,-7,-10
531968,female,either,22.8,29,-10,12,15,19,0,0,-10,21,21,35,-9,13,6,3,10,0,0,16,13,24,5,22,5,4,-10,22,22,-9,33,9,22,-3,26,-9,12,-10,59,22,0,0,21,19,18,11,12,24,21,-2,37
531969,male,women,28.1,9,-15,-17,-16,-17,-15,-9,-16,-18,-16,-16,-14,-17,-16,-17,-16,-17,-16,-16,28,-18,-16,-16,-17,-17,-15,-16,-16,-17,-18,-14,-18,-16,-13,-16,-15,-17,-16,-15,-16,-18,-17,-16,-16,-16,-17,-15,6,-15,-16
531970,female,men,21.5,-3,1,-6,-2,-5,-2,7,8,-11,0,-3,-3,-10,-10,-9,-13,4,-10,-11,-4,8,-13,-7,-7,-9,6,5,2,-2,4,-4,-12,2,6,-3,4,-8,-3,-6,-7,-2,-15,8,-1,7,4,2,6,1,6
531973,female,men,23.7,-9,-9,-7,-10,-13,10,-5,-11,-13,-12,5,-13,-8,-6,-10,-10,-13,-10,-13,0,-12,-13,-10,-10,-8,-11,-6,0,-6,-11,1,-11,-11,-8,-12,-12,-12,5,0,-12,-11,-7,-8,-6,-12,-12,-6,-13,-12,9
531974,female,men,24.3,14,-4,-8,62,16,18,7,20,88,32,38,11,-9,19,-2,44,21,6,7,17,-8,13,20,40,11,12,-8,58,43,16,-9,-2,32,20,34,52,18,98,66,29,-5,-4,-6,53,-9,17,14,11,30,87
531975,female,women,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531976,female,men,50.8,0,0,0,0,-5,-3,-4,-2,-1,-4,-1,-4,-2,-3,-3,-5,0,-5,0,0,1,0,-1,0,0,0,0,0,-3,2,0,6,0,0,-5,-3,0,-1,-2,0,-2,-6,2,0,-5,-2,0,0,0,0
531977,male,men,21.7,0,-10,-17,-9,-12,-16,-4,-13,-5,-15,-3,-17,9,-16,0,22,-16,-14,-9,0,0,-8,-11,1,-6,-7,-10,0,0,0,0,-15,-11,-14,0,0,-19,1,0,-7,-10,0,0,0,-10,0,0,-3,0,-14
531978,male,women,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531980,female,either,18.9,-7,-11,-10,-2,-6,-10,-13,-6,-12,-12,0,-10,-10,6,5,-9,4,-7,-6,-9,1,-10,-12,10,-10,-9,3,-10,35,-10,10,-4,3,22,-8,9,-6,26,-10,2,-8,-12,-10,15,12,23,8,-11,15,16
531981,male,women,28.3,-16,-8,85,53,23,-14,-10,-4,27,-4,-11,-5,-12,-5,32,24,-16,-9,4,27,-5,3,45,50,-6,-10,43,15,-12,73,-14,-9,-4,16,25,29,-9,-7,37,39,-12,46,-15,-6,-7,-4,-16,-15,25,26
531982,male,neither,21.4,-2,-4,-5,-4,-6,0,-5,-6,0,-3,0,-2,0,-1,-5,0,0,-1,-9,-9,-6,-1,-6,-6,-5,-6,-2,-4,0,0,-4,0,-7,0,0,-4,-5,-4,-5,-3,0,-1,-6,-1,-7,-5,-4,-6,-5,-5
531983,female,men,44.6,-3,-10,0,2,0,0,0,0,10,-5,0,-7,-9,0,0,8,6,-10,-10,16,0,4,7,4,0,-7,-8,0,-8,0,-6,-10,0,0,-7,-5,-8,0,0,-7,0,9,-7,0,0,0,-11,6,0,12
