user_id,sex,sexpref,age,andrej,aurel,bernard,blazej,boris,bretislav,bystrik,cenek,cestmir,cornelius,cyril,dalimil,denis,dionyz,dominik,drahomir,elias,ferdinand,gabriel,hanus,henrich,hynek,josef,justin,kamil,kazimir,leonard,libor,lumir,maxim,mike,milos,mojmir,moric,oleg,oliver,patrik,prokop,ramiro,rehor,rudolf,sobeslav,stefan,svatopluk,tichomir,tomasi,valer,vasil,vendelin,vladislav
477033,female,,30.9,-4,-18,-10,-2,-16,-13,40,-16,-6,-18,-14,-18,-5,-18,-14,-18,-18,-15,-18,-16,-14,-17,-16,-15,-18,-13,-16,-13,-12,-16,-4,-18,-14,-16,-16,-17,-8,-18,-16,-18,-18,-18,-16,-16,-18,-16,-16,-18,-14,-16
478230,male,women,25.8,16,-10,-12,0,-10,-10,27,-8,0,-11,0,-10,13,-11,-13,0,0,0,-16,-15,-10,-7,-4,0,-10,-12,-10,0,0,0,-10,-10,-9,8,0,-11,-13,0,0,-12,-11,-10,0,-10,0,6,0,-15,0,0
478291,female,women,23.5,-2,-15,0,-16,-17,0,-14,-8,-8,-15,-17,-15,-18,-14,-16,-13,1,-16,-4,-2,-15,-15,-17,7,-15,-16,-16,-12,-14,-15,1,0,-10,-9,-15,4,-16,-12,-15,-15,-15,-15,-17,-15,-11,-14,-12,-17,-1,-11
479035,female,men,22.6,36,21,-11,40,-10,41,19,-14,-5,-4,28,16,21,9,-10,-11,20,-11,-12,-12,-8,-10,-8,-13,-8,-13,11,-13,21,-8,-10,-12,21,29,-13,-11,-11,-14,-7,-13,14,-12,-9,7,-14,26,18,14,30,-8
489018,male,men,26.8,85,21,-6,50,11,52,84,-1,7,28,75,34,92,-7,43,-12,51,-9,19,20,27,39,18,20,-11,29,38,18,20,42,40,32,53,31,-12,37,32,77,19,22,9,-9,22,37,-10,53,66,76,114,35
501705,female,either,21.3,45,33,0,18,0,-7,1,-9,6,-9,-5,-2,29,44,-7,-13,33,-11,-9,-11,-8,-4,24,1,-5,-11,-7,-1,12,-4,0,-12,31,0,0,-9,-10,1,-7,15,0,-12,-9,1,-11,37,4,33,6,40
514003,male,women,30.1,-10,-11,-10,-12,-3,-9,-9,-8,-13,-11,-10,-9,-11,-12,-12,-8,-10,-10,-10,-11,-10,-12,-11,-9,-9,-11,-9,-9,-10,-9,-11,-10,-6,-10,-11,-11,-6,-8,-10,-5,-5,-12,-10,-10,-10,-10,-11,-9,-10,-10
518109,female,men,20.1,22,3,4,1,2,3,17,-11,-6,-2,13,0,17,-7,0,-8,14,-8,25,15,-7,5,-8,-10,-8,-11,12,-2,-3,3,-2,-6,12,-1,0,-9,34,-1,19,-7,10,-5,-10,-6,-11,84,-6,0,19,-4
531458,male,women,19.8,-1,-9,-11,3,-13,-15,5,-12,6,-13,-13,-12,-16,3,2,-12,-14,-7,-14,-15,-10,-13,-14,-15,-16,-10,-14,-11,-17,-11,-2,-9,-16,-15,-15,-17,-18,-15,-13,-13,-10,-13,-15,-2,-18,-18,-14,6,-2,-13
531826,male,women,27.2,0,-12,-10,-15,-8,-4,2,-11,-13,-6,-12,-12,-14,-8,-10,-15,-13,-6,-14,-14,-14,-9,-12,-11,-14,-9,-12,-14,-11,-9,-6,-13,-12,-10,-11,-13,-8,-10,-13,-11,-11,-10,-6,-11,-13,-8,-6,-13,-15,-17
531966,female,men,20.7,10,4,-9,-6,-4,14,12,-5,-8,-8,-6,8,29,-7,-7,-7,-7,-11,-10,-10,-12,-5,-3,-8,-5,-8,0,-11,6,-7,11,-11,12,-2,-8,-7,-6,-4,7,-9,0,-9,-9,23,-9,10,0,-5,-6,-10
531967,female,men,23.1,10,6,-4,22,13,6,9,-11,7,2,-4,-5,8,-5,10,-10,12,4,9,8,8,14,4,-9,-7,-1,-5,-7,-4,12,14,-10,9,18,3,6,6,-10,8,-2,-10,-8,-7,0,-6,-6,6,12,7,-3
531968,female,either,22.8,29,15,0,12,-3,10,22,0,10,14,5,8,13,13,-10,0,32,31,24,6,-9,2,5,4,0,0,8,9,10,12,-2,13,8,32,0,5,7,0,10,14,9,0,-6,5,3,8,13,6,10,-6
531969,male,women,28.1,-20,-21,-13,-8,-22,-20,-13,-17,-19,-19,-20,-20,-20,-20,-16,-16,-20,-19,-15,-13,-19,-19,-20,-20,-20,-19,0,-20,-17,-20,-20,-18,-17,-17,-14,-18,-20,-20,-21,-18,-20,-20,-20,-19,-21,-18,-16,-20,-17,-20
531970,female,men,21.5,10,1,-6,19,-9,8,25,-12,2,-8,-5,4,0,4,-9,-11,7,-8,6,-1,-10,-7,-10,-11,-13,-12,-7,-9,2,0,3,-6,10,2,-8,-13,-2,-8,4,7,-11,-7,-2,3,-14,37,-9,4,-11,-14
531973,female,men,23.7,-7,-9,-13,-7,-13,-11,-5,-13,-10,-13,-12,-8,-14,-8,-12,-9,-7,-13,-9,-7,-9,-12,-13,-13,-9,-15,-12,-13,-11,-13,-6,-13,-14,-12,-11,-12,-10,-15,-13,-5,-14,-12,-6,-14,-8,-15,-9,-11,-11,-8
531974,female,men,24.3,-3,-7,-4,5,-8,1,-8,-2,0,3,8,-1,9,-6,-10,0,-8,6,-10,0,-5,-8,-4,-8,12,9,-11,-4,-5,-10,0,-4,-3,-12,10,-6,-6,-4,0,-3,7,4,0,-8,5,-9,-4,-9,-8,-8
531975,female,women,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531976,female,men,50.8,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,1,0,0
531977,male,men,21.7,0,0,-6,0,18,0,6,0,0,-5,-17,0,0,-11,-14,-11,0,0,-3,0,-7,1,0,-15,-1,-1,0,15,-12,7,0,12,-1,0,0,-4,0,6,3,0,-4,-2,0,45,-5,5,1,-6,0,-2
531978,male,women,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531980,female,either,18.9,15,-10,-9,-11,-11,17,29,-13,5,-12,2,4,-8,-3,-10,-12,8,-9,-10,-6,-9,9,-10,-11,-11,-12,4,-12,-4,-7,-9,-9,10,-11,-9,-11,-10,-8,16,-10,-10,-12,-5,-11,-11,-5,-10,-6,-10,-10
