user_id,sex,sexpref,age,andrej,aurel,bernard,blazej,boris,bretislav,bystrik,cenek,cestmir,cornelius,cyril,dalimil,denis,dionyz,dominik,drahomir,elias,ferdinand,gabriel,hanus,henrich,hynek,josef,justin,kamil,kazimir,leonard,libor,lumir,maxim,mike,milos,mojmir,moric,oleg,oliver,patrik,prokop,ramiro,rehor,rudolf,sobeslav,stefan,svatopluk,tichomir,tomasi,valer,vasil,vendelin,vladislav
477033,female,,30.9,-14,-15,-15,-20,-18,-9,-16,-17,0,-14,0,-14,-2,-15,-13,-18,-13,-14,-16,-18,-19,-15,-13,-16,-14,-14,-17,-15,-3,-18,-8,-12,-19,-14,-17,-14,-14,-16,-17,-12,-15,-12,-16,-11,-17,-17,-17,-12,-9,-16
478230,male,women,25.8,-6,-16,-13,-7,-5,-10,-12,-12,-7,-12,-7,-12,-15,-6,-11,-11,-2,-13,-11,-14,-15,0,-8,-13,0,-13,-8,-12,-11,-14,-10,-7,-12,-8,0,-8,-13,-17,-13,-11,-9,-2,-12,-6,-13,-12,-14,-8,-12,-14
478291,female,women,23.5,0,-11,-17,0,-18,0,0,0,0,-13,-17,-14,0,0,-13,0,0,-13,0,-16,-17,0,-16,-18,-14,-15,-17,0,0,0,-15,-14,-12,0,-13,-17,-16,-15,0,-17,0,0,0,-17,0,18,-16,0,-17,-16
479035,female,men,22.6,38,-12,-11,-7,-13,-12,-13,-14,-16,-15,-14,-9,-10,29,14,-11,-14,-15,3,-11,-16,-14,-16,33,-14,-13,-17,-14,5,-13,45,25,39,-14,-14,-12,-12,-16,-16,-12,-16,0,-15,-11,-17,-14,-12,-15,8,41
489018,male,men,26.8,30,-12,-12,-11,-11,-12,-13,-12,-9,-12,-13,-10,-12,-11,26,-8,-12,-10,-12,-13,-12,-12,-12,-9,-12,-13,-5,-12,-7,-12,-9,-10,24,29,-13,-12,-10,-11,-11,-10,-13,-12,-7,-14,-12,-11,-13,-10,-11,-13
501705,female,either,21.3,-12,27,-10,0,-4,49,-9,-10,-14,-13,-11,-13,32,54,-8,78,24,-12,-8,-13,33,-5,-2,-12,-14,-10,44,-2,-13,-2,-11,-6,-6,-6,-3,-14,-13,-3,-13,-12,-13,13,-14,0,6,28,-10,20,62,-6
514003,male,women,30.1,-10,-10,-8,2,-11,-10,-10,-10,-9,-11,-8,-10,-11,-13,-13,-13,-12,-9,0,-8,-11,-10,0,-13,-11,-14,-11,-11,-3,-10,-4,-5,-13,-11,-12,-12,-12,-10,-12,-10,-11,-12,-12,-9,-9,-11,-12,-12,-5,-10
518109,female,men,20.1,-6,0,-10,0,-5,8,3,8,-6,-9,1,-9,0,0,15,21,-7,-8,13,-9,9,8,22,0,-3,4,8,-9,-10,-3,3,4,11,10,3,-8,-9,-12,-6,-8,-3,-3,-8,3,-1,0,14,1,6,-5
531458,male,women,19.8,-6,-6,-5,5,-3,-4,0,0,-17,0,0,0,0,-12,0,0,-7,-3,0,0,-6,0,0,0,0,0,0,0,-11,0,0,0,0,-16,-8,-16,0,0,-14,0,-13,-13,-12,0,-11,0,0,0,-12,0
531826,male,women,27.2,0,-7,-10,-12,-6,-3,-12,-10,-11,-6,-14,-6,0,-10,-5,-9,-10,-8,-11,-11,-9,-10,-10,-12,-11,-10,0,-11,-6,-4,-10,-12,-4,-8,-8,-10,-11,-9,-7,-5,-11,-8,-10,0,-12,-12,-11,-12,-7,-12
531966,female,men,20.7,8,-5,-9,6,-8,-6,12,-7,-8,1,-12,-8,3,-6,-10,-11,-10,-6,0,-9,-9,-10,2,7,-7,-8,-11,-8,9,-5,0,4,-7,-7,-8,-8,-10,-8,2,-6,8,3,-5,2,0,13,-4,-3,3,12
531967,female,men,23.1,-8,-9,10,-6,18,-4,9,-3,-13,-11,-12,-10,16,7,19,12,13,-11,25,-12,14,5,-8,-11,-1,-5,5,1,-7,14,10,14,0,12,7,-12,-12,-10,7,0,-8,10,-9,9,-10,6,-5,24,14,-6
531968,female,either,22.8,48,0,-8,-11,36,-7,0,0,-7,-10,0,-9,56,9,30,8,0,0,82,0,4,4,10,-8,-1,3,28,33,40,18,19,-7,0,13,18,-8,-2,5,0,20,8,2,-6,8,8,-9,-8,16,2,10
531969,male,women,28.1,-17,-18,-15,-18,-20,-17,-16,-18,-18,-16,-18,-21,-18,-21,-17,-17,-17,-18,-17,-20,-19,-19,-17,-17,-20,-17,-20,-17,-21,-17,-17,-17,-18,-19,-20,-17,-21,-18,-18,-18,-16,-19,-16,-18,-21,-17,-20,-20,-9,-22
531970,female,men,21.5,4,-14,-4,-1,6,-3,-11,2,6,-15,-6,-9,10,7,4,8,-5,6,8,-7,-12,-7,-8,-11,-10,-9,-12,9,4,1,7,1,7,9,-1,-9,-13,-11,-10,14,0,-6,-10,1,-7,-5,4,3,-9,2
531973,female,men,23.7,-13,-13,-12,-11,-9,-12,-13,-14,-14,-14,-13,-13,-12,-13,-14,-12,-14,-13,-8,-13,-11,-10,-12,-11,-13,-11,-14,-15,-13,-7,-12,-11,-16,-12,-11,-12,-10,-13,-14,-12,-13,-11,-13,-12,-12,-12,-10,-11,-11,-7
531974,female,men,24.3,57,26,-10,80,-9,-8,19,-8,46,-10,-9,-10,52,20,41,-6,36,-7,63,59,-11,-13,57,37,16,-13,60,38,60,-11,77,57,-12,-12,-7,-12,18,22,-9,20,54,25,-12,41,37,-9,0,39,41,-8
531975,female,women,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531976,female,men,50.8,-3,0,0,0,-4,2,-4,-1,1,0,-4,-1,11,-1,0,-4,-1,0,11,0,-1,-2,0,-1,0,4,7,12,1,-4,11,9,-1,0,-2,8,2,4,-2,-2,1,-10,0,0,0,-1,8,1,0,-4
531977,male,men,21.7,0,36,0,0,44,11,0,0,24,23,41,54,0,1,51,14,-8,14,8,17,5,6,2,5,23,0,54,0,0,0,0,31,16,6,0,31,4,60,-9,3,0,10,21,4,45,0,0,56,10,26
531978,male,women,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531980,female,either,18.9,18,-9,-8,-11,-3,-12,-6,-6,-6,-8,-10,-10,-9,-9,1,8,-6,-11,-10,-11,2,-9,-10,-10,-8,-11,11,-1,-9,-5,8,20,-10,26,-10,-12,-8,-12,-5,15,13,-5,-11,3,-13,-5,-9,4,9,-9
531981,male,women,28.3,-1,-6,-14,-6,-11,-14,-7,-15,-7,-7,-12,-10,-7,-11,-7,-16,-10,-7,-3,-16,-10,-6,-9,-14,-2,-11,0,-7,-10,-10,-15,-14,-8,-7,-15,-7,-4,-10,-10,-10,-15,-16,4,-14,-16,-6,-6,-17,-17,-9
531982,male,neither,21.4,-4,-4,0,-2,-6,-4,-2,-5,-5,-5,-6,-5,-4,-2,-6,-5,-4,-1,-6,-8,-4,-6,-6,-2,-8,-4,-6,-7,-5,-4,-6,-6,-1,-4,-6,0,-11,-1,0,-7,-6,-6,-6,-10,-2,-4,-4,0,-10,-7
531983,female,men,44.6,0,-14,-10,-4,-3,-6,-5,-14,-11,-12,-11,-14,-9,-1,-6,-4,-9,-11,-3,-8,-14,0,-11,0,-14,-12,-9,-8,-9,0,0,0,-5,-3,0,-14,-9,0,-13,-1,-4,-9,-12,-8,-11,-7,0,-1,0,0
531984,male,,22.7,-16,-13,-18,0,-15,-18,-16,-16,-15,0,-14,-19,-18,-16,-16,10,-18,-17,98,-16,-14,0,0,-18,-17,-16,-13,-16,-18,78,15,-12,-17,251,-17,-15,-14,-16,-17,6,-15,-18,-16,-12,-14,-18,-11,-18,7,-8
531985,female,men,20.2,-12,-15,-14,-13,-11,-16,-11,-15,-11,-13,-13,-14,-14,-17,-14,-13,-11,-16,-14,-12,-14,-14,-13,-14,-12,-13,-15,-13,-13,-16,-3,-14,-13,-13,-2,-12,-14,-11,-12,-14,-14,-11,-14,-11,-15,-15,-16,-15,-14,-15
531986,female,men,22.2,-17,-16,-16,-16,-17,-16,-6,-16,-5,-16,-16,-16,-14,-17,-16,-15,-15,-16,-17,-15,-16,-11,-12,-15,-16,-9,-18,-16,-15,-16,-16,-16,-15,-16,-14,-15,-15,-16,-7,-16,0,-17,-16,-17,-16,-13,-17,-16,-17,-15
531987,female,men,20.3,-12,-13,-12,-16,-15,-14,-14,-11,-16,-16,-13,-13,-12,-14,-11,-14,-14,-13,-16,-15,-14,-13,-14,-15,-18,-14,-14,-14,-13,-15,-15,-15,-16,-9,-13,-13,-13,-14,-14,-12,-14,-15,-12,-19,-13,-14,-14,-12,-11,-14
531988,male,women,20.4,-2,-14,-15,-11,-13,-11,0,-11,-13,-11,-9,-1,-13,-3,-8,-10,-8,-9,-13,-2,0,-7,-7,-11,-11,-11,-9,-14,-6,-7,-13,-13,-10,-13,-5,-13,-7,-10,-11,-11,-13,-2,-9,-12,-11,-8,-12,0,-13,-14
531989,female,men,22.2,-13,-14,-16,-12,-15,13,-16,-12,-15,9,-1,-16,-16,-15,-18,-16,-13,-15,-15,-14,-6,-11,-1,5,-17,-16,-16,-16,-14,-16,-14,-13,-16,-15,-14,-17,-13,-15,-13,-15,-17,-15,-13,4,-18,-16,-15,-14,-15,-16
531990,male,women,18.2,22,-6,-12,-14,25,-12,-14,25,-11,6,-15,-13,40,13,-12,12,-12,-16,30,-13,-11,-11,-11,30,14,-14,5,34,-11,22,11,-14,-10,29,-14,-15,9,-15,-16,5,-14,-11,-10,18,-10,-9,-9,13,31,-15
531991,female,men,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531993,male,men,24.0,-10,0,-13,-16,-13,-15,0,4,-14,-16,-16,-17,0,-5,-16,-2,0,-14,0,-11,8,-15,-1,2,-15,-14,-16,-15,0,2,-14,-13,6,10,-6,0,-14,-10,0,4,-10,8,-3,0,-17,8,0,6,4,-7
