user_id,sex,sexpref,age,alexandra,anastazie,anezka,bera,bohdana,brenda,carol,christianne,dagmar,debra,dobromila,dusana,edita,eleanora,elena,eugenia,evzenie,gabriela,gejza,ida,ingrid,irena,jindriska,jitka,karina,kordula,lea,linda,livia,lujza,margita,marika,matylda,miloslava,milota,miriama,peggy,perla,radmila,sarlota,saskie,sidonia,stela,tamara,ursula,viktoria,viola,vladena,zelmira,zlata
477033,female,,30.9,-18,-19,-18,-16,-20,-18,-19,-18,-18,-18,-2,0,-18,-14,-18,-18,0,-15,-16,-12,-19,-18,-18,-10,-18,-8,-19,-9,-18,-18,-1,-16,-19,-17,-18,-18,-18,-18,-18,-18,-16,-19,-18,-18,-18,-17,-19,-18,-13,-18
478230,male,women,25.8,0,-11,0,26,0,-4,0,-10,0,0,-9,-8,-6,-3,-6,0,-8,0,-14,0,0,-10,0,-11,-3,0,-13,-14,0,-16,0,0,-13,-10,0,0,-9,0,0,-10,-3,-16,-12,-12,-11,0,0,0,0,0
478291,female,women,23.5,-11,-14,0,0,7,-16,0,-15,0,0,0,11,-9,6,-13,-14,21,0,0,0,-11,3,-14,-16,-12,0,-12,0,-11,-12,-12,-12,0,-13,-15,-15,-16,-15,-14,0,0,-14,-12,0,-15,-11,-10,-15,-8,-14
479035,female,men,22.6,-13,-12,-10,-7,0,0,-9,-14,27,-14,9,-11,-14,-13,-10,-7,-10,17,-2,-13,-11,29,-12,0,3,22,41,-12,-12,-9,30,38,-11,-12,0,19,20,-2,-10,3,-11,-11,-11,-14,-14,21,-13,-13,17,10
489018,male,men,26.8,-11,-9,-12,-11,0,-10,-11,-12,-3,-10,-6,-12,-6,-12,-9,-13,-8,-11,-5,-10,-7,-12,0,-10,-9,-11,-12,-10,-7,-10,-10,-11,-10,-10,-12,-5,-9,-6,-8,-3,-11,-11,-8,0,-8,-13,-11,-9,-11,11
501705,female,either,21.3,-12,-8,-5,53,31,-12,-10,-8,-10,-11,-4,-4,-12,0,-10,-10,-12,-12,-11,60,-10,-10,-5,-9,61,0,-10,-3,-10,-6,-9,-6,-10,-9,-7,50,40,-3,-12,-8,-10,-12,32,-11,40,35,30,47,103,-7
514003,male,women,30.1,-9,4,-10,-10,3,-12,-6,-9,-13,-11,-13,-13,-10,-12,-11,-10,-8,-12,-11,-11,-10,-11,-11,4,-9,-10,-15,-10,-12,-13,4,3,-11,-10,-13,6,-10,-9,-10,-9,-12,-11,-9,-11,-10,-12,-11,-11,-10,-9
518109,female,men,20.1,7,-5,-2,-10,19,4,2,-6,-3,-7,-3,-13,-5,-2,-2,12,-1,14,-7,16,42,10,13,-7,23,-2,15,16,-10,-8,25,-12,-3,-7,-6,-8,3,6,4,10,-12,0,-2,2,-6,-2,35,1,12,4
531458,male,women,19.8,-17,0,-13,179,-11,-17,-17,-15,-5,-17,-19,-13,-18,-8,-15,0,-13,-18,0,-16,-5,-22,-13,-19,-18,-15,-19,-9,-15,-18,-17,0,-4,-9,-12,-19,35,-19,0,-14,-9,-13,0,-21,-11,-20,-12,-23,-19,0
531826,male,women,27.2,-7,-6,4,16,0,-10,-7,-1,12,-4,-6,-4,-8,-7,0,0,-5,-10,-7,0,-3,-4,-7,-8,-3,-10,-4,-7,-8,-6,7,-5,-14,-7,-5,-7,11,0,-12,-9,0,-8,-9,-6,50,-8,-10,-4,21,-7
531966,female,men,20.7,-9,0,15,9,28,-1,-1,0,1,-8,23,4,0,-6,0,-5,-3,0,-3,-6,0,7,11,-2,-2,1,8,-10,6,-4,18,27,4,-5,6,17,6,-7,10,21,-3,-4,0,7,-2,-3,0,-5,-2,-4
531967,female,men,23.1,-2,14,6,12,24,-10,-7,-3,-11,11,11,4,11,11,-10,-3,-11,1,12,-11,-6,-1,22,10,4,17,-11,-3,-12,13,15,19,23,-9,10,6,8,14,8,20,17,-9,-11,-6,-9,-9,15,-9,14,-11
531968,female,either,22.8,-8,-8,12,-3,29,41,0,4,6,0,4,0,-5,34,8,63,2,2,14,43,4,41,75,0,17,32,22,12,13,-9,-8,13,0,6,6,37,26,48,9,0,-1,0,14,24,0,41,43,13,24,-8
531969,male,women,28.1,-17,-20,-15,-15,-20,-18,-20,-18,-11,-16,-18,-19,-19,-19,-18,-19,-18,-18,-19,-19,-18,-17,-18,-19,48,-17,-20,-19,-20,-18,-18,-18,-19,-19,-17,-19,-19,-20,-19,-20,-19,-16,-18,-20,-20,-16,-17,-18,-20,-18
531970,female,men,21.5,-5,-7,-12,-5,8,-9,0,-10,-9,-10,4,-4,-7,-7,-7,-5,-10,4,-6,-8,-6,-6,-3,2,2,-10,-3,-9,-9,-2,6,-8,6,-9,-7,4,8,-7,-5,-4,-6,-7,2,5,7,15,2,5,-10,-3
531973,female,men,23.7,-12,-14,-14,-17,-13,-17,-13,-12,-14,-11,-19,-14,-13,-13,-12,-13,-14,-16,-18,-14,-15,-13,-19,-9,-18,-14,-15,-7,-12,-17,-12,-7,0,-12,-10,-20,-11,-15,-16,-20,-14,-19,-11,-20,-11,-16,-15,-20,-13,-18
531974,female,men,24.3,-10,47,-10,4,6,-11,0,-4,50,-10,12,36,-7,8,-3,-8,6,49,-6,13,-10,-9,-10,23,-8,22,30,-11,-7,-6,55,-6,42,-10,6,-10,42,15,4,-7,21,-11,-3,18,-6,27,-6,-8,-8,30
