judgment,stimulus_sex,type,user_id,rater_sex,sexpref,rater_age,alexandra,anastazie,anezka,bera,bohdana,brenda,carol,christianne,dagmar,debra,dobromila,dusana,edita,eleanora,elena,eugenia,evzenie,gabriela,gejza,ida,ingrid,irena,jindriska,jitka,karina,kordula,lea,linda,livia,lujza,margita,marika,matylda,miloslava,milota,miriama,peggy,perla,radmila,sarlota,saskie,sidonia,stela,tamara,ursula,viktoria,viola,vladena,zelmira,zlata
aggressive,female,body,524919,male,women,32.0,3,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,7,3,7
aggressive,female,body,526499,male,women,25.4,2,1,2,1,1,1,1,2,3,2,2,1,2,1,1,3,2,1,1,4,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,3,2,2,3,1,3,1,2,1,2,1,2
aggressive,female,body,518690,male,men,24.0,3,3,1,3,3,3,3,6,3,4,3,5,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
aggressive,female,body,526864,male,women,21.4,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,5,1,5,1,1,3,2,1,1,1,1,1,2,1,1,3,1,1,2,4,1,6,1,1,1,1,1,1,1,3,1,2,1,1,1
aggressive,female,body,525682,male,women,22.9,4,1,5,3,3,4,3,2,6,3,4,2,4,3,5,4,3,4,4,4,5,2,5,3,3,3,2,5,4,3,2,3,4,4,3,4,1,4,3,5,2,4,3,3,2,5,3,5,3,4
aggressive,female,body,520426,male,men,19.3,3,1,2,3,2,2,2,3,5,2,2,1,4,3,2,2,2,2,1,1,2,2,2,7,1,2,3,2,3,2,2,1,1,6,1,2,2,5,7,2,2,1,3,4,2,3,2,1,2,3
aggressive,female,body,526960,male,women,53.9,5,2,4,4,4,2,3,3,2,2,5,1,3,3,4,2,4,4,3,3,3,2,4,2,2,2,2,4,2,5,2,3,4,5,3,5,4,4,4,1,3,2,4,4,2,3,4,4,2,6
aggressive,female,body,521325,male,women,21.1,3,4,2,3,2,2,3,2,5,4,3,1,5,3,5,5,3,2,4,1,4,6,5,5,3,3,5,4,5,4,3,5,2,4,2,3,2,3,4,3,3,5,3,5,3,4,2,3,5,3
aggressive,female,body,527065,male,women,60.8,2,2,4,3,3,3,3,2,3,1,3,3,3,1,3,3,2,4,3,3,3,1,3,3,3,1,2,2,3,4,3,3,3,4,2,2,3,4,4,3,2,3,4,3,3,3,3,3,3,3
aggressive,female,body,522256,male,men,20.3,4,2,2,4,2,2,3,2,7,4,5,3,5,1,7,5,3,5,7,5,2,7,3,6,6,4,3,5,2,4,1,5,3,5,1,4,1,1,5,6,2,3,4,5,3,1,4,1,4,4
aggressive,female,body,527160,male,women,19.1,3,1,3,3,3,3,3,3,3,7,1,3,4,6,3,7,3,4,3,6,1,5,3,1,1,4,3,3,3,1,3,2,2,3,3,2,1,2,5,4,2,7,2,2,3,4,3,1,3,4
aggressive,female,body,522977,male,women,41.0,6,5,5,5,5,4,4,4,5,5,6,4,3,5,4,3,5,5,5,2,5,3,3,3,6,4,4,4,4,6,4,5,7,6,1,5,4,6,3,6,5,4,5,4,4,4,3,4,3,3
aggressive,female,body,519244,female,men,21.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
aggressive,female,body,525851,female,men,36.4,6,4,5,5,6,6,6,5,7,5,4,4,6,5,6,7,5,5,5,4,5,6,7,5,5,4,6,5,4,4,5,5,3,6,7,5,6,6,6,6,6,3,6,3,5,6,5,6,5,6
aggressive,female,body,524898,female,men,20.2,1,1,1,3,1,2,1,5,3,1,4,1,1,1,1,2,2,1,1,1,5,2,3,4,1,3,1,4,1,4,1,4,1,4,1,1,4,1,5,5,1,3,2,1,1,3,6,2,1,4
aggressive,female,body,518546,female,men,39.1,3,1,3,3,2,1,1,1,2,3,1,1,2,1,2,4,1,2,2,3,2,2,1,4,2,2,2,3,3,4,2,1,2,2,1,1,1,1,3,4,1,2,1,3,1,5,1,2,2,3
aggressive,female,body,525587,female,men,18.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
aggressive,female,body,524222,female,either,23.1,3,2,4,3,6,2,6,5,5,3,3,3,3,4,6,2,4,2,3,2,4,3,2,3,3,3,3,4,3,5,3,3,4,2,6,2,6,2,4,4,2,5,4,2,2,5,4,3,5,3
aggressive,female,body,520118,female,men,31.4,2,1,3,3,3,3,3,2,5,2,2,3,3,2,5,5,2,1,3,3,2,3,3,4,3,3,3,4,2,3,2,1,3,2,3,2,2,2,3,2,5,5,1,4,2,3,1,2,2,3
aggressive,female,body,526921,female,men,34.3,3,4,2,2,3,2,5,2,2,2,2,3,2,3,1,4,2,2,4,1,2,6,4,2,1,3,4,3,2,4,2,3,3,3,1,3,5,2,6,5,3,1,1,4,6,2,5,3,2,3
aggressive,female,body,527070,female,men,20.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
