Well ID	id	pairing	dubblett	il6	il6_mean
SPL1	1	1	1	3.115	3.232
	1	1	2	3.348	
SPL2	2	1	1	3.262	3.137
	2	1	2	3.012	
SPL3	1	2	1	2.679	2.915
	1	2	2	3.151	
SPL4	2	2	1	3.284	3.369
	2	2	2	3.453	
SPL5	1	3	1	3.243	3.266
	1	3	2	3.289	
SPL6	2	3	1	3.207	3.051
	2	3	2	2.895	
SPL7	1	4	1	0.82	0.565
	1	4	2	0.309	
SPL8	2	4	1	0.766	0.929
	2	4	2	1.093	
SPL9	1	5	1	0.54	0.625
	1	5	2	0.711	
SPL10	2	5	1	0.558	0.631
	2	5	2	0.705	
SPL11	3	1	1	2.912	2.938
	3	1	2	2.964	
SPL12	4	1	1	3.037	2.971
	4	1	2	2.906	
SPL13	3	2	1	2.057	2.076
	3	2	2	2.095	
SPL14	4	2	1	2.377	2.271
	4	2	2	2.164	
SPL15	3	3	1	3.493	3.217
	3	3	2	2.942	
SPL16	4	3	1	3.462	3.382
	4	3	2	3.301	
SPL17	5	1	1	1.279	1.413
	5	1	2	1.547	
SPL18	6	1	1	2.044	1.968
	6	1	2	1.891	
SPL19	5	2	1	0.907	1.109
	5	2	2	1.311	
SPL20	6	2	1	0.782	0.829
	6	2	2	0.875	
SPL21	5	3	1	1.422	1.422
	5	3	2	1.423	
SPL22	6	3	1	1.672	1.658
	6	3	2	1.644	
SPL23	7	1	1	1.255	1.409
	7	1	2	1.563	
SPL24	8	1	1	3.001	3.093
	8	1	2	3.184	
SPL25	7	2	1	1.238	1.29
	7	2	2	1.342	
SPL26	8	2	1	0.83	0.84
	8	2	2	0.85	
SPL27	7	3	1	2.757	2.667
	7	3	2	2.576	
SPL28	8	3	1	2.672	2.416
	8	3	2	2.16	
SPL29	7		1	1.058	1.078
	7		2	1.097	
SPL30	8		1	1.536	1.436
	8		2	1.336	
SPL31	7		1	0.993	1.017
	7		2	1.04	
SPL32	8		1	1.196	1.236
	8		2	1.277	
SPL33	7		1	0.083	0.085
	7		2	0.088	
SPL34	8		1	0.085	0.082
	8		2	0.079	
SPL35	7		1	0.068	0.076
	7		2	0.084	
SPL36	8		1	0.081	0.079
	8		2	0.077	
SPL37	7		1	2.533	2.641
	7		2	2.748	
SPL38	8		1	2.403	2.258
	8		2	2.112	
SPL39	7		1	2.053	2.114
	7		2	2.175	
SPL40	8		1	2.341	2.454
	8		2	2.566	
SPL41	7		1	0.109	0.111
	7		2	0.113	
SPL42	8		1	0.087	0.085
	8		2	0.083	
	1	6	1	0.657	0.647
	1	6	2	0.638	
	2	6	1	0.731	0.75
	2	6	2	0.77	
