group,donor_strand,measurement,il6_secretion_abs,il6_secretion_rel
1,D1S1,1,0.292,1.110266
2,D1S1,1,0.205,0.7794677
3,D1S1,1,0.724,2.752852
4,D1S1,1,6.353,24.15589
5,D1S1,1,0.271,1.030418
6,D1S1,1,0.436,1.657795
1,D1S1,2,0.234,0.8897339
2,D1S1,2,0.195,0.7414449
3,D1S1,2,0.942,3.581749
4,D1S1,2,6.598,25.08745
5,D1S1,2,0.348,1.323194
6,D1S1,2,0.436,1.657795
1,D1S2,1,0.21,0.9230769
2,D1S2,1,0.376,1.652747
3,D1S2,1,0.163,0.7164835
4,D1S2,1,4.882,21.45934
5,D1S2,1,1.341,5.894506
6,D1S2,1,1.245,5.472528
1,D1S2,2,0.245,1.076923
2,D1S2,2,0.382,1.679121
3,D1S2,2,0.163,0.7164835
4,D1S2,2,4.816,21.16923
5,D1S2,2,1.263,5.551648
6,D1S2,2,1.686,7.410989
1,D2S1,1,0.172,1.026866
2,D2S1,1,0.2,1.19403
3,D2S1,1,0.292,1.743284
4,D2S1,1,1.021,6.095522
5,D2S1,1,0.958,5.719403
6,D2S1,1,0.538,3.21194
1,D2S1,2,0.163,0.9731343
2,D2S1,2,0.195,1.164179
3,D2S1,2,0.224,1.337313
4,D2S1,2,1.062,6.340299
5,D2S1,2,1.095,6.537313
6,D2S1,2,0.493,2.943284
1,D2S2,1,0.625,1.05042
2,D2S2,1,0.297,0.4991597
3,D2S2,1,0.154,0.2588235
4,D2S2,1,1.211,2.035294
5,D2S2,1,0.474,0.7966387
6,D2S2,1,0.353,0.5932773
1,D2S2,2,0.565,0.9495798
2,D2S2,2,0.281,0.4722689
3,D2S2,2,0.132,0.2218487
4,D2S2,2,1.658,2.786555
5,D2S2,2,0.468,0.7865546
6,D2S2,2,0.4,0.6722689
