"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Post","count_Prac","count_Prac_Count_1","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_C","count_Start_E","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac_1","count_Target_response_wrong_Prac_1","count_Trial_logger","count_Welcome_PP_C","count_Welcome_PP_E","count_postdata_C","count_postdata_E","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gender","height","keyboard_backend","language1","language2","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","month","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_C","response_Start_E","response_Target_response_Prac","response_Welcome_PP_C","response_Welcome_PP_E","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_C","response_time_Start_E","response_time_Target_response_Prac","response_time_Welcome_PP_C","response_time_Welcome_PP_E","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Post","time_Prac","time_Prac_Count_1","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_C","time_Start_E","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac_1","time_Target_response_wrong_Prac_1","time_Trial_logger","time_Welcome_PP_C","time_Welcome_PP_E","time_postdata_C","time_postdata_E","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","year"
"F","100","F","F","PP_LIST1.csv","watch.jpg","skirt.jpg","85.7142857143","85.7142857143","464.285714286","464.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","0","0","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","362","NA","NA","362","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","30226","27860","20145","29462","30727","30225","19129","30152","30727","NA","NA","31091","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","31591","NA","19130","NA","5505","Orientation_PSA2018","6","3250","7","yes","1024","1002"
"F","100","F","F","PP_LIST1.csv","wrench.jpg","piano.jpg","75","75","437.5","437.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","1","1","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","250","NA","NA","250","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","31685","27860","20145","29462","32186","31683","19129","30152","32186","NA","NA","32438","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","32938","NA","19130","NA","5505","Orientation_PSA2018","6","3500","8","yes","1024","1002"
"Y","100","V","V","PP_LIST1.csv","clothespinV.jpg","clothespinV.jpg","77.7777777778","77.7777777778","429.111111111","429.111111111","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","2","2","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","362","NA","NA","362","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","33031","27860","20145","29462","33533","33030","19129","30152","33533","33897","NA","32438","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","34397","NA","19130","NA","5505","Orientation_PSA2018","7","3862","9","yes","1024","1002"
"Y","100","V","V","PP_LIST1.csv","crayonV.jpg","crayonV.jpg","80","80","418.2","418.2","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","3","3","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","320","NA","NA","320","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","34489","27860","20145","29462","34990","34488","19129","30152","34990","35312","NA","32438","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","35812","NA","19130","NA","5505","Orientation_PSA2018","8","4182","10","yes","1024","1002"
"F","100","F","F","PP_LIST1.csv","tiger.jpg","wndmil.jpg","72.7272727273","72.7272727273","412.454545455","412.454545455","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","4","4","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","355","NA","NA","355","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","35901","27860","20145","29462","36402","35899","19129","30152","36402","35312","NA","36759","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","37259","NA","19130","NA","5505","Orientation_PSA2018","8","4537","11","yes","1024","1002"
"F","100","F","F","PP_LIST1.csv","spider.jpg","couch.jpg","66.6666666667","66.6666666667","405","405","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","5","5","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","323","NA","NA","323","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","37385","27860","20145","29462","37886","37383","19129","30152","37886","35312","NA","38210","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","38711","NA","19130","NA","5505","Orientation_PSA2018","8","4860","12","yes","1024","1002"
"Y","100","H","H","PP_LIST1.csv","bowlH.jpg","bowlH.jpg","69.2307692308","69.2307692308","397.076923077","397.076923077","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","6","6","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","302","NA","NA","302","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","38806","27860","20145","29462","39311","38804","19129","30152","39311","39616","NA","38210","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","40116","NA","19130","NA","5505","Orientation_PSA2018","9","5162","13","yes","1024","1002"
"N","100","H","V","PP_LIST1.csv","glassH.jpg","glassV.jpg","71.4285714286","71.4285714286","401.214285714","401.214285714","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","7","7","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","455","NA","NA","455","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","40210","27860","20145","29462","40711","40209","19129","30152","40711","41169","NA","38210","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","41669","NA","19130","NA","5505","Orientation_PSA2018","10","5617","14","yes","1024","1002"
"F","100","F","F","PP_LIST1.csv","skirt.jpg","tlphon.jpg","66.6666666667","66.6666666667","391.066666667","391.066666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","8","8","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","249","NA","NA","249","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","41755","27860","20145","29462","42260","41754","19129","30152","42260","41169","NA","42511","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","43011","NA","19130","NA","5505","Orientation_PSA2018","10","5866","15","yes","1024","1002"
"N","100","H","V","PP_LIST1.csv","ironH.jpg","ironV.jpg","68.75","68.75","395.8125","395.8125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","02/08/19 22:56:53","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Male","768","legacy","yes","no","9","9","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP-1.csv","9","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","467","NA","NA","467","NA","681","572","NA","1006","2","legacy","1024","2","48000","-16","EXP","1","odd","NA","19129","1400","1405","4121","19118","19118","NA","NA","30152","43099","27860","20145","29462","43600","43097","19129","30152","43600","44069","NA","42511","NA","20145","29439","20159","27859","20159","20159","20145","NA","29463","28365","28365","28939","NA","NA","44569","NA","19130","NA","5505","Orientation_PSA2018","11","6333","16","yes","1024","1002"
