"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Post","count_Prac","count_Prac_Count_1","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_C","count_Start_E","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac_1","count_Target_response_wrong_Prac_1","count_Trial_logger","count_Welcome_PP_C","count_Welcome_PP_E","count_postdata_C","count_postdata_E","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gender","height","keyboard_backend","language1","language2","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","month","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_C","response_Start_E","response_Target_response_Prac","response_Welcome_PP_C","response_Welcome_PP_E","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_C","response_time_Start_E","response_time_Target_response_Prac","response_time_Welcome_PP_C","response_time_Welcome_PP_E","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Post","time_Prac","time_Prac_Count_1","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_C","time_Start_E","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac_1","time_Target_response_wrong_Prac_1","time_Trial_logger","time_Welcome_PP_C","time_Welcome_PP_E","time_postdata_C","time_postdata_E","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","year"
"F","100","F","F","PP_LIST2.csv","watch.jpg","skirt.jpg","100","100","580.142857143","580.142857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","0","0","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","f","NA","space","756","NA","NA","756","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","28162","25629","17415","27272","28666","28161","16609","28086","28667","29425","NA","NA","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","29925","NA","16610","NA","5385","Orientation_PSA2018","7","4061","7","yes","1024","2002"
"F","100","F","F","PP_LIST2.csv","wrench.jpg","piano.jpg","87.5","87.5","563.125","563.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","1","1","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","444","NA","NA","444","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","30084","25629","17415","27272","30586","30083","16609","28086","30586","29425","NA","31032","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","31532","NA","16610","NA","5385","Orientation_PSA2018","7","4505","8","yes","1024","2002"
"N","100","H","V","PP_LIST2.csv","clothespinH.jpg","clothespinV.jpg","88.8888888889","88.8888888889","545.888888889","545.888888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","2","2","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","408","NA","NA","408","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","31635","25629","17415","27272","32136","31633","16609","28086","32136","32546","NA","31032","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","33046","NA","16610","NA","5385","Orientation_PSA2018","8","4913","9","yes","1024","2002"
"N","100","H","V","PP_LIST2.csv","crayonH.jpg","crayonV.jpg","90","90","527.5","527.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","3","3","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","362","NA","NA","362","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","33176","25629","17415","27272","33682","33175","16609","28086","33682","34046","NA","31032","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","34546","NA","16610","NA","5385","Orientation_PSA2018","9","5275","10","yes","1024","2002"
"F","100","F","F","PP_LIST2.csv","tiger.jpg","wndmil.jpg","81.8181818182","81.8181818182","503.181818182","503.181818182","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","4","4","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","260","NA","NA","260","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","34647","25629","17415","27272","35149","34645","16609","28086","35149","34046","NA","35410","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","35910","NA","16610","NA","5385","Orientation_PSA2018","9","5535","11","yes","1024","2002"
"F","100","F","F","PP_LIST2.csv","spider.jpg","couch.jpg","75","75","481.083333333","481.083333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","5","5","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","238","NA","NA","238","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","36005","25629","17415","27272","36509","36004","16609","28086","36509","34046","NA","36748","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","37248","NA","16610","NA","5385","Orientation_PSA2018","9","5773","12","yes","1024","2002"
"Y","100","V","V","PP_LIST2.csv","bowlV.jpg","bowlV.jpg","76.9230769231","76.9230769231","459.076923077","459.076923077","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","6","6","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","195","NA","NA","195","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","37380","25629","17415","27272","37885","37379","16609","28086","37885","38082","NA","36748","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","38582","NA","16610","NA","5385","Orientation_PSA2018","10","5968","13","yes","1024","2002"
"N","100","V","H","PP_LIST2.csv","glassV.jpg","glassH.jpg","78.5714285714","78.5714285714","445.142857143","445.142857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","7","7","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","264","NA","NA","264","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","38688","25629","17415","27272","39189","38687","16609","28086","39189","39455","NA","36748","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","39955","NA","16610","NA","5385","Orientation_PSA2018","11","6232","14","yes","1024","2002"
"F","100","F","F","PP_LIST2.csv","skirt.jpg","tlphon.jpg","73.3333333333","73.3333333333","427.733333333","427.733333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","8","8","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","184","NA","NA","184","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","40050","25629","17415","27272","40551","40048","16609","28086","40551","39455","NA","40737","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","41237","NA","16610","NA","5385","Orientation_PSA2018","11","6416","15","yes","1024","2002"
"N","100","V","H","PP_LIST2.csv","ironV.jpg","ironH.jpg","75","75","415","415","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","NA","0","5","0","5","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","02/08/19 23:00:56","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","Ok","no","Female","768","legacy","yes","no","9","9","1","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/PP/subject-2.csv","11","legacy","Kafkaesque Koffka","3.2.6","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","f","NA","space","224","NA","NA","224","NA","802","606","NA","796","2","legacy","1024","2","48000","-16","EXP","2","even","NA","16608","1255","1259","4010","16599","16599","NA","NA","28085","41333","25629","17415","27272","41838","41332","16609","28086","41838","42064","NA","40737","NA","17415","27243","17428","25628","17428","17427","17415","NA","27274","26135","26135","26743","NA","NA","42564","NA","16610","NA","5385","Orientation_PSA2018","12","6640","16","yes","1024","2002"
