"LAB_SEED","List","Match","Orientation","PList","Probe","Target","Task","acc","accuracy","alt_task","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Introduction_E","correct_Probe_Prac_response","correct_Probe_response","correct_Probe_sti_response","correct_Start_E","correct_Target_response","correct_Target_response_Prac","correct_Welcome_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_First_Fixation","count_First_Fixation_Prac","count_Introduction_C","count_Introduction_E","count_LAB_SEED","count_Language_Selection","count_List_Select_E","count_List_Select_TC","count_List_Selection","count_Memory_loop","count_Memory_sequence","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Probe","count_Probe_Collect","count_Probe_Prac","count_Probe_Prac_response","count_Probe_import","count_Probe_response","count_Probe_sti","count_Probe_sti_correct","count_Probe_sti_response","count_Probe_sti_wrong","count_STUDY_order","count_Second_Fixation","count_Second_Fixation_Prac","count_Start_C","count_Start_E","count_Target","count_Target_Prac","count_Target_response","count_Target_response_Prac","count_Target_response_correct","count_Target_response_correct_Prac","count_Target_response_noans","count_Target_response_noans_Prac","count_Target_response_wrong","count_Target_response_wrong_Prac","count_Trial_logger","count_Verification_Break","count_Verification_End","count_Verification_Exp","count_Verification_Prac","count_Verification_Start","count_Verification_Trial","count_Verification_Welcome","count_Verification_loop","count_Welcome_C","count_Welcome_E","count_presetup","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","live_row","live_row_Prac","live_row_Prac_loop","live_row_Verification_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","rectarget","repeat_cycle","reset_loop","response","response_Introduction_C","response_Introduction_E","response_Probe_Prac_response","response_Probe_response","response_Probe_sti_response","response_Start_C","response_Start_E","response_Target_response","response_Target_response_Prac","response_Verification_Break","response_Verification_End","response_Welcome_C","response_Welcome_E","response_time","response_time_Introduction_C","response_time_Introduction_E","response_time_Probe_Prac_response","response_time_Probe_response","response_time_Probe_sti_response","response_time_Start_C","response_time_Start_E","response_time_Target_response","response_time_Target_response_Prac","response_time_Verification_Break","response_time_Verification_End","response_time_Welcome_C","response_time_Welcome_E","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","task_order","time_Check_This","time_Disable_Mouse","time_EXP","time_First_Fixation","time_First_Fixation_Prac","time_Introduction_C","time_Introduction_E","time_LAB_SEED","time_Language_Selection","time_List_Select_E","time_List_Select_TC","time_List_Selection","time_Memory_loop","time_Memory_sequence","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Probe","time_Probe_Collect","time_Probe_Prac","time_Probe_Prac_response","time_Probe_import","time_Probe_response","time_Probe_sti","time_Probe_sti_correct","time_Probe_sti_response","time_Probe_sti_wrong","time_STUDY_order","time_Second_Fixation","time_Second_Fixation_Prac","time_Start_C","time_Start_E","time_Target","time_Target_Prac","time_Target_response","time_Target_response_Prac","time_Target_response_correct","time_Target_response_correct_Prac","time_Target_response_noans","time_Target_response_noans_Prac","time_Target_response_wrong","time_Target_response_wrong_Prac","time_Trial_logger","time_Verification_Break","time_Verification_End","time_Verification_Exp","time_Verification_Prac","time_Verification_Start","time_Verification_Trial","time_Verification_Welcome","time_Verification_loop","time_Welcome_C","time_Welcome_E","time_presetup","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","ENG_LIST2.csv","N","H","ENG_Prac2.csv","Janie grabbed the broom and rode it around the house, pretending it was her horse.","broomV.jpg","V","50","50","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","712.285714286","712.285714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","0","5","0","0","0","0","0","0","0","0","NA","0","5","0","5","0","0","0","0","0","5","5","NA","0","NA","NA","NA","NA","0","0","5","0","0","0","5","0","5","0","5","0","5","0","5","0","NA","0","0","0","0","0","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","0","1","5","0","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","NA","0","0","j","NA","space","space","space","NA","NA","space","j","j","NA","NA","NA","space","326","NA","1258","854","749","NA","NA","950","326","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","38021","32141","NA","11607","2507","10024","11592","NA","11592","NA","NA","13787","36331","14092","32139","14093","14092","13787","39025","39026","33148","33148","NA","39026","NA","NA","NA","NA","NA","39786","34014","NA","36418","40293","34520","40293","34522","40626","35830","NA","NA","NA","NA","41126","NA","NA","37405","13787","36415","38018","11605","37407","NA","12867","37406","Orientation_PSA2018","7","9972","14","yes","1024"
"100","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","The anxious little boy placed the salt shaker onto the table.","saltV.jpg","V","50","50","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","674.875","674.875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","1","5","0","0","0","0","0","0","0","1","NA","0","5","0","5","0","0","0","1","1","5","5","NA","1","NA","NA","NA","NA","0","1","5","0","0","1","5","1","5","1","5","1","5","1","5","1","NA","1","0","0","0","1","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","1","1","5","1","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","NA","0","0","j","NA","space","space","space","NA","NA","space","j","j","NA","NA","NA","space","396","NA","1258","854","430","NA","NA","950","396","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","41398","32141","NA","11607","2507","10024","11592","NA","11592","NA","NA","13787","36331","14092","32139","14093","14092","13787","42403","42404","33148","33148","NA","42404","NA","NA","NA","NA","NA","42841","34014","NA","36418","43346","34520","43347","34522","43750","35830","NA","NA","NA","NA","44250","NA","NA","37405","13787","36415","41395","11605","37407","NA","12867","37406","Orientation_PSA2018","8","10798","16","yes","1024"
"100","ENG_LIST2.csv","F","F","ENG_Prac2.csv","Because the newborn cub was on display the zoo was more crowded than usual.","skirt.jpg","V","44.4444444444","44.4444444444","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","642.833333333","642.833333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","f","0","0","0","2","5","0","0","0","0","0","0","0","2","NA","0","5","0","5","0","0","0","2","2","5","5","NA","2","NA","NA","NA","NA","0","2","5","0","0","2","5","2","5","2","5","2","5","2","5","2","NA","2","0","0","0","2","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","2","1","5","2","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","NA","0","0","j","NA","space","space","space","NA","NA","space","j","j","NA","NA","NA","space","337","NA","1258","854","436","NA","NA","950","337","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","44527","32141","NA","11607","2507","10024","11592","NA","11592","NA","NA","13787","36331","14092","32139","14093","14092","13787","45532","45532","33148","33148","NA","45533","NA","NA","NA","NA","NA","45976","34014","NA","36418","46482","34520","46483","34522","43750","35830","NA","NA","46828","NA","47328","NA","NA","37405","13787","36415","44525","11605","37407","NA","12867","37406","Orientation_PSA2018","8","11571","18","yes","1024"
"100","ENG_LIST2.csv","F","F","ENG_Prac2.csv","The frog caught a fly using its tongue.","stove.jpg","V","40","40","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","609.15","609.15","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","f","0","0","0","3","5","0","0","0","0","0","0","0","3","NA","0","5","0","5","0","0","0","3","3","5","5","NA","3","NA","NA","NA","NA","0","3","5","0","0","3","5","3","5","3","5","3","5","3","5","3","NA","3","0","0","0","3","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","3","1","5","3","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","NA","0","0","j","NA","space","space","space","NA","NA","space","j","j","NA","NA","NA","space","288","NA","1258","854","324","NA","NA","950","288","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","48088","32141","NA","11607","2507","10024","11592","NA","11592","NA","NA","13787","36331","14092","32139","14093","14092","13787","49094","49094","33148","33148","NA","49094","NA","NA","NA","NA","NA","49426","34014","NA","36418","49932","34520","49933","34522","43750","35830","NA","NA","50238","NA","50739","NA","NA","37405","13787","36415","48085","11605","37407","NA","12867","37406","Orientation_PSA2018","8","12183","20","yes","1024"
"100","ENG_LIST2.csv","N","V","ENG_Prac2.csv","The carpenter hammered the nail into the floor plank.","nailH.jpg","V","40.9090909091","40.9090909091","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","584.090909091","584.090909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","4","5","0","0","0","0","0","0","0","4","NA","0","5","0","5","0","0","0","4","4","5","5","NA","4","NA","NA","NA","NA","0","4","5","0","0","4","5","4","5","4","5","4","5","4","5","4","NA","4","0","0","0","4","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","4","1","5","4","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","NA","0","0","j","NA","space","space","space","NA","NA","space","j","j","NA","NA","NA","space","322","NA","1258","854","345","NA","NA","950","322","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","50968","32141","NA","11607","2507","10024","11592","NA","11592","NA","NA","13787","36331","14092","32139","14093","14092","13787","51974","51974","33148","33148","NA","51976","NA","NA","NA","NA","NA","52329","34014","NA","36418","52835","34520","52835","34522","53165","35830","NA","NA","50238","NA","53665","NA","NA","37405","13787","36415","50966","11605","37407","NA","12867","37406","Orientation_PSA2018","9","12850","22","yes","1024"
"100","ENG_LIST2.csv","Y","V","ENG_Prac2.csv","The accountant stuck his pen into his pocket protector.","penV.jpg","V","41.6666666667","41.6666666667","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","571.208333333","571.208333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","NA","undefined","1","1","undefined","6","j","0","0","0","5","5","0","0","0","0","0","0","0","5","NA","0","5","0","5","0","0","0","5","5","5","5","NA","5","NA","NA","NA","NA","0","5","5","0","0","5","5","5","5","5","5","5","5","5","5","5","NA","5","0","0","0","5","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","5","1","5","5","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","NA","0","0","j","NA","space","space","space","NA","NA","space","j","j","NA","NA","NA","space","452","NA","1258","854","407","NA","NA","950","452","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","53906","32141","NA","11607","2507","10024","11592","NA","11592","NA","NA","13787","36331","14092","32139","14093","14092","13787","54911","54911","33148","33148","NA","54912","NA","NA","NA","NA","NA","55327","34014","NA","36418","55832","34520","55833","34522","56294","35830","NA","NA","50238","NA","56795","NA","NA","37405","13787","36415","53903","11605","37407","NA","12867","37406","Orientation_PSA2018","10","13709","24","yes","1024"
"100","ENG_LIST2.csv","F","F","ENG_Prac2.csv","The mother put the carrot in her daughter's lunch bag.","tiger.jpg","V","38.4615384615","38.4615384615","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","559.423076923","559.423076923","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","f","0","0","0","6","5","0","0","0","0","0","0","0","6","NA","0","5","0","5","0","0","0","6","6","5","5","NA","6","NA","NA","NA","NA","0","6","5","0","0","6","5","6","5","6","5","6","5","6","5","6","NA","6","0","0","0","6","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","6","1","5","6","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","NA","0","0","j","NA","space","space","space","NA","NA","space","j","j","NA","NA","NA","space","384","NA","1258","854","452","NA","NA","950","384","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","57227","32141","NA","11607","2507","10024","11592","NA","11592","NA","NA","13787","36331","14092","32139","14093","14092","13787","58232","58232","33148","33148","NA","58233","NA","NA","NA","NA","NA","58693","34014","NA","36418","59198","34520","59200","34522","56294","35830","NA","NA","59587","NA","60088","NA","NA","37405","13787","36415","57224","11605","37407","NA","12867","37406","Orientation_PSA2018","10","14545","26","yes","1024"
"100","ENG_LIST2.csv","F","F","ENG_Prac2.csv","Harry gave his girlfriend a beautiful ring, hoping she would say yes.","house.jpg","V","35.7142857143","35.7142857143","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","553.642857143","553.642857143","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","NA","undefined","0","1","undefined","6","f","0","0","0","7","5","0","0","0","0","0","0","0","7","NA","0","5","0","5","0","0","0","7","7","5","5","NA","7","NA","NA","NA","NA","0","7","5","0","0","7","5","7","5","7","5","7","5","7","5","7","NA","7","0","0","0","7","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","7","1","5","7","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","NA","0","0","j","NA","space","space","space","NA","NA","space","j","j","NA","NA","NA","space","485","NA","1258","854","472","NA","NA","950","485","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","60436","32141","NA","11607","2507","10024","11592","NA","11592","NA","NA","13787","36331","14092","32139","14093","14092","13787","61441","61442","33148","33148","NA","61442","NA","NA","NA","NA","NA","61923","34014","NA","36418","62428","34520","62430","34522","56294","35830","NA","NA","62925","NA","63425","NA","NA","37405","13787","36415","60434","11605","37407","NA","12867","37406","Orientation_PSA2018","10","15502","28","yes","1024"
"100","ENG_LIST2.csv","F","F","ENG_Prac2.csv","Harry gave his girlfriend a beautiful ring, hoping she would say yes.","house.jpg","M","34.4827586207","34.4827586207","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","579.034482759","579.034482759","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","0","1","undefined","6","f","0","0","0","7","5","0","0","0","0","0","0","0","7","0","0","5","0","5","0","0","0","7","7","5","5","0","7","0","0","0","0","0","7","5","0","0","7","5","7","5","7","5","7","5","7","5","8","NA","7","0","0","0","7","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","0","1","5","7","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","Because the newborn cub was on display the zoo was more crowded than usual.","0","0","j","NA","space","space","space","j","NA","space","j","j","NA","NA","NA","space","1290","NA","1258","854","472","1290","NA","950","485","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","60436","32141","NA","11607","2507","10024","11592","NA","11592","63442","63652","13787","36331","14092","32139","14093","14092","13787","61441","61442","33148","33148","63653","61442","63655","NA","63655","64962","NA","61923","34014","NA","36418","62428","34520","62430","34522","56294","35830","NA","NA","62925","NA","66462","NA","NA","37405","13787","36415","60434","11605","37407","NA","12867","37406","Orientation_PSA2018","10","16792","29","yes","1024"
"100","ENG_LIST2.csv","F","F","ENG_Prac2.csv","In the park a bison ran towards them.","ring.jpg","V","32.2580645161","32.2580645161","[7, 11, 14, 19, 22, 27, 29, 35, 38, 41, 45]","568.64516129","568.64516129","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","undefined","0","1","undefined","6","f","0","0","0","8","5","0","0","0","0","0","0","0","8","0","0","5","0","5","0","0","0","8","8","5","5","0","8","0","0","0","0","0","8","5","0","0","8","5","8","5","8","5","8","5","8","5","9","NA","8","0","0","0","8","0","0","0","0","0","02/08/19 20:58:10","Matching Tasks","yes","","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/Script","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","8","1","5","8","D:/core/Research/OpenSci/PSA/2018/2017_submission_orientation_generalicity/EXPDATA/raw_data/SPt-2.csv","legacy","Kafkaesque Koffka","3.2.6","Because the newborn cub was on display the zoo was more crowded than usual.","0","0","j","NA","space","space","space","j","NA","space","j","j","NA","NA","NA","space","288","NA","1258","854","548","1290","NA","950","288","1296","NA","NA","NA","896","2","legacy","1024","2","48000","-16","EXP","2","even","none of above","NA","11605","2444","66751","32141","NA","11607","2507","10024","11592","NA","11592","63442","63652","13787","36331","14092","32139","14093","14092","13787","67756","67756","33148","33148","63653","67757","63655","NA","63655","64962","NA","68323","34014","NA","36418","68829","34520","68830","34522","56294","35830","NA","NA","69124","NA","69624","NA","NA","37405","13787","36415","66749","11605","37407","NA","12867","37406","Orientation_PSA2018","10","17628","31","yes","1024"
