Orientation1,Orientation2,Picture1,Picture2,correct_response
V,V,axeV.jpg,axeV.jpg,j
V,V,batV.jpg,batV.jpg,j
V,V,bookV.jpg,bookV.jpg,j
V,V,bottleV.jpg,bottleV.jpg,j
V,V,bowlV.jpg,bowlV.jpg,j
V,V,broomV.jpg,broomV.jpg,j
H,V,brushH.jpg,brushV.jpg,j
H,V,caterpillarH.jpg,caterpillarV.jpg,j
H,V,crayonH.jpg,crayonV.jpg,j
H,V,clothespinH.jpg,clothespinV.jpg,j
H,V,flashH.jpg,flashV.jpg,j
H,V,fire_extinguisherH.jpg,fire_extinguisherV.jpg,j
V,H,glassV.jpg,glassH.jpg,j
V,H,guitarV.jpg,guitarH.jpg,j
V,H,ironV.jpg,ironH.jpg,j
V,H,keyV.jpg,keyH.jpg,j
V,H,nailV.jpg,nailH.jpg,j
V,H,pencilV.jpg,pencilH.jpg,j
H,H,penH.jpg,penH.jpg,j
H,H,plateH.jpg,plateH.jpg,j
H,H,saltH.jpg,saltH.jpg,j
H,H,screwH.jpg,screwH.jpg,j
H,H,scssorH.jpg,scssorH.jpg,j
H,H,tireH.jpg,tireH.jpg,j
F,F,spider.jpg,couch.jpg,f
F,F,stove.jpg,ftball.jpg,f
F,F,ladder.jpg,house.jpg,f
F,F,knife.jpg,ladder.jpg,f
F,F,tlphon.jpg,knife.jpg,f
F,F,wndmil.jpg,mitten.jpg,f
F,F,mitten.jpg,needle.jpg,f
F,F,ftball.jpg,nut.jpg,f
F,F,wrench.jpg,piano.jpg,f
F,F,sutcse.jpg,pumpkin.jpg,f
F,F,house.jpg,ring.jpg,f
F,F,watch.jpg,skirt.jpg,f
F,F,couch.jpg,spider.jpg,f
F,F,ring.jpg,stove.jpg,f
F,F,piano.jpg,sutcse.jpg,f
F,F,trmpet.jpg,tapedispenser.jpg,f
F,F,needle.jpg,tiger.jpg,f
F,F,skirt.jpg,tlphon.jpg,f
F,F,pumpkin.jpg,trmpet.jpg,f
F,F,nut.jpg,watch.jpg,f
F,F,tiger.jpg,wndmil.jpg,f
F,F,tapedispenser.jpg,wrench.jpg,f
F,F,umberella.jpg,flower.jpg,f
F,F,buggy.jpg,glass.jpg,f
