"subject_nr","task_order","PList","List","compensation","response","correct","response_time","File","opensesame_codename","opensesame_version","experiment_file"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",0,1091,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",1,1112,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",1,636,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",0,693,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",0,800,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",0,863,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",0,603,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",0,676,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",1,761,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",1,815,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
1,"none of above","ENG_Prac2.csv","ENG_LIST1.csv",0,"j",1,804,"subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",0,1290,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",1,800,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",1,1530,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",0,1162,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",1,759,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",1,838,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",1,692,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",0,910,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",0,1254,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",1,962,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
2,"none of above","ENG_Prac2.csv","ENG_LIST2.csv",0,"j",1,833,"subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,964,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,1283,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,1035,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,635,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",1,1034,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",1,792,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,722,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,2024,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",1,825,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,907,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
3,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",1,843,"subject-3.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,740,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,634,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,850,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,774,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",1,1011,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",1,625,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",1,616,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,908,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,915,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,749,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
4,"none of above","ENG_Prac1.csv","ENG_LIST3.csv",0,"j",0,573,"subject-4.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_SP_1.1.0.osexp"
