"subject_nr","PPList","Identical","Orientation1","Orientation2","Picture1","Picture2","response","correct","response_time","gender","year","month","fullscreen","File","opensesame_codename","opensesame_version","experiment_file"
1,"PP_LIST1.csv","F","F","F","watch.jpg","skirt.jpg","j",0,362,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","wrench.jpg","piano.jpg","j",0,250,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","V","V","clothespinV.jpg","clothespinV.jpg","j",1,362,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","V","V","crayonV.jpg","crayonV.jpg","j",1,320,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","tiger.jpg","wndmil.jpg","j",0,355,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","spider.jpg","couch.jpg","j",0,323,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","H","H","bowlH.jpg","bowlH.jpg","j",1,302,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","H","V","glassH.jpg","glassV.jpg","j",1,455,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","skirt.jpg","tlphon.jpg","j",0,249,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","H","V","ironH.jpg","ironV.jpg","j",1,467,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","mitten.jpg","needle.jpg","j",0,318,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","stove.jpg","ftball.jpg","j",0,361,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","trmpet.jpg","tapedispenser.jpg","j",0,490,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","V","V","caterpillarV.jpg","caterpillarV.jpg","j",1,254,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","nut.jpg","watch.jpg","j",0,290,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","H","H","bottleH.jpg","bottleH.jpg","j",1,233,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","couch.jpg","spider.jpg","j",0,239,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","H","V","guitarH.jpg","guitarV.jpg","j",1,218,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","house.jpg","ring.jpg","j",0,243,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","piano.jpg","sutcse.jpg","j",0,238,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","umberella.jpg","flower.jpg","j",0,1366,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","ring.jpg","stove.jpg","j",0,471,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","H","H","axeH.jpg","axeH.jpg","j",1,759,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","H","V","pencilH.jpg","pencilV.jpg","j",1,329,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","V","H","saltV.jpg","saltH.jpg","j",1,300,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","V","V","flashV.jpg","flashV.jpg","j",1,363,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","tapedispenser.jpg","wrench.jpg","j",0,243,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","wndmil.jpg","mitten.jpg","j",0,277,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","H","V","keyH.jpg","keyV.jpg","j",1,256,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","V","V","fire_extinguisherV.jpg","fire_extinguisherV.jpg","j",1,314,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","V","H","scssorV.jpg","scssorH.jpg","j",1,364,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
